"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"2472",899000,61,"blok mieszkalny","Krzyki",650,3,"bardzo dobry"
"2473",695000,59.54,"blok mieszkalny","Lipa Piotrowska",770,3,"-"
"2474",630000,42.06,"blok mieszkalny","Krzyki",562,2,"wysoki standard"
"2475",495000,30.6,"blok mieszkalny","Szczepin",650,2,"wysoki standard"
"2476",518880,32.5,"apartamentowiec","Krzyki",500,2,"nowe wykończone"
"2477",494793,42.29,"blok mieszkalny","Lipa Piotrowska",430,2,"do wykończenia"
"2478",907974,52.83,"blok mieszkalny","Kleczków",650,3,"do wykończenia"
"2479",749900,68,"dom wielorodzinny","Lipa Piotrowska",1,3,"deweloperski"
"2480",499987,35,"kamienica","Plac Grunwaldzki",115,2,"wysoki standard"
"2481",649000,62.71,"blok mieszkalny","Lipa Piotrowska",600,3,"do wykończenia"
"2482",1250000,88.8,"kamienica","Stare Miasto",970,4,"wysoki standard"
"2483",821000,56.5,"blok mieszkalny","Jagodno",500,3,"nowe wykończone"
"2484",950000,72,"apartamentowiec","Krzyki",600,3,"wysoki standard"
"2485",582925,45.79,"blok mieszkalny","Poświętne",490,2,"do wykończenia"
"2486",895000,73.5,"blok mieszkalny","Księże",850,4,"do wykończenia"
"2487",674684,54.41,"blok mieszkalny","Maślice",560,3,"do wykończenia"
"2488",691377,48.7,"blok mieszkalny","Krzyki",480,2,"do wykończenia"
"2489",618000,33.86,"blok mieszkalny","Stare Miasto",400,1,"do wykończenia"
"2490",612000,60.15,"blok mieszkalny","Lipa Piotrowska",690,3,"do wykończenia"
"2491",571000,47.4,"blok mieszkalny","Grabiszyn",600,3,"-"
"2492",327899,19,"kamienica","Nadodrze",93,2,"wysoki standard"
"2493",720000,80.66,"blok mieszkalny","Różanka",1000,4,"dobry"
"2494",750011,38.12,"blok mieszkalny","Stare Miasto",300,2,"do wykończenia"
"2495",550000,45,"blok mieszkalny","Krzyki",600,2,"wysoki standard"
"2496",799000,50,"blok mieszkalny","Klecina",550,2,"wysoki standard"
